Student Enrolment Key,Unit of Study Identifier,Semester,Mode of Study,Gender,Age Category,Dom/Int,Mark,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC,SUM canvas Access
117,UNIT O,1,Full Time,M,19-21,Domestic,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
118,UNIT K,1,Full Time,M,Over 25,Domestic,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119,UNIT S,1,Full Time,F,18 and Under,Domestic,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
120,UNIT O,1,Full Time,M,19-21,International,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14
121,UNIT Q,2,Full Time,F,19-21,Domestic,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
122,UNIT S,1,Full Time,M,18 and Under,Domestic,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
123,UNIT Q,2,Full Time,F,19-21,International,55,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,11
124,UNIT Z,1,Full Time,F,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
125,UNIT S,2,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
126,UNIT M,1,Full Time,M,19-21,International,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
127,UNIT O,1,Full Time,F,19-21,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
128,UNIT K,1,Full Time,M,22-25,International,75,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,13
129,UNIT Y,1,Full Time,M,19-21,International,72,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
130,UNIT Y,1,Full Time,M,18 and Under,Domestic,83,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13
131,UNIT O,1,Full Time,M,19-21,Domestic,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
132,UNIT X,1,Full Time,M,19-21,International,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
133,UNIT O,1,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
134,UNIT H,2,Full Time,M,Over 25,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
135,UNIT Q,2,Full Time,F,19-21,Domestic,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
136,UNIT C,1,Full Time,M,19-21,Domestic,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
137,UNIT O,1,Full Time,F,19-21,International,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
138,UNIT O,1,Full Time,F,19-21,International,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
139,UNIT H,2,Full Time,F,19-21,International,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
140,UNIT O,1,Full Time,M,19-21,Domestic,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141,UNIT H,2,Full Time,F,19-21,International,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
142,UNIT S,2,Full Time,M,18 and Under,Domestic,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
143,UNIT K,1,Full Time,F,19-21,Domestic,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144,UNIT S,1,Full Time,F,19-21,Domestic,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
145,UNIT V,2,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
146,UNIT V,2,Full Time,M,19-21,International,25,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14
147,UNIT G,2,Full Time,F,19-21,Domestic,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
148,UNIT V,2,Full Time,M,19-21,International,69,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14
149,UNIT C,1,Full Time,F,19-21,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
150,UNIT S,1,Full Time,M,19-21,International,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
151,UNIT V,2,Full Time,M,19-21,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
152,UNIT V,2,Full Time,F,19-21,Domestic,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
153,UNIT O,1,Part Time,M,22-25,Domestic,19,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
154,UNIT X,2,Full Time,M,Over 25,International,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
155,UNIT O,1,Full Time,F,18 and Under,Domestic,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
156,UNIT O,1,Part Time,M,19-21,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
157,UNIT W,2,Full Time,M,19-21,International,75,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14
158,UNIT O,1,Full Time,F,19-21,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
159,UNIT S,2,Full Time,M,19-21,International,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
160,UNIT K,1,Full Time,F,19-21,Domestic,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
161,UNIT X,1,Full Time,M,18 and Under,Domestic,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
162,UNIT K,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
163,UNIT O,1,Full Time,M,19-21,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
164,UNIT O,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
165,UNIT G,2,Full Time,M,18 and Under,International,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
166,UNIT Y,1,Full Time,F,19-21,Domestic,83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
167,UNIT T,2,Full Time,M,19-21,Domestic,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
168,UNIT Q,2,Full Time,F,19-21,Domestic,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
169,UNIT S,2,Full Time,F,19-21,International,64,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14
170,UNIT O,1,Full Time,M,19-21,Domestic,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
171,UNIT S,1,Full Time,M,19-21,International,77,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14
172,UNIT S,2,Full Time,M,19-21,International,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
173,UNIT Q,2,Full Time,F,19-21,Domestic,18,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,13
174,UNIT T,2,Full Time,M,19-21,International,82,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
175,UNIT S,2,Full Time,M,19-21,Domestic,61,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,7
176,UNIT S,1,Full Time,M,19-21,International,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14
177,UNIT O,1,Full Time,F,18 and Under,Domestic,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
178,UNIT C,1,Full Time,F,19-21,Domestic,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
179,UNIT O,1,Full Time,M,19-21,International,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
180,UNIT W,2,Full Time,M,22-25,Domestic,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14
181,UNIT O,1,Full Time,M,19-21,International,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
182,UNIT G,2,Full Time,F,19-21,Domestic,58,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,13
183,UNIT Q,2,Full Time,F,19-21,Domestic,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
184,UNIT O,1,Full Time,F,19-21,International,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
185,UNIT Q,2,Full Time,M,19-21,Domestic,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
186,UNIT H,2,Full Time,F,19-21,Domestic,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
187,UNIT S,2,Full Time,M,19-21,International,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
188,UNIT O,1,Full Time,M,19-21,Domestic,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
189,UNIT S,2,Full Time,M,19-21,International,60,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,12
190,UNIT H,2,Full Time,F,19-21,Domestic,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
191,UNIT V,2,Full Time,M,18 and Under,Domestic,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
192,UNIT O,1,Full Time,F,19-21,International,59,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
193,UNIT G,2,Full Time,F,19-21,International,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
194,UNIT O,1,Full Time,F,22-25,International,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
195,UNIT V,2,Full Time,F,19-21,Domestic,66,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,13
196,UNIT V,2,Full Time,M,18 and Under,Domestic,59,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,11
197,UNIT K,1,Full Time,F,19-21,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
198,UNIT A,1,Full Time,F,19-21,Domestic,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
199,UNIT C,1,Full Time,F,19-21,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
200,UNIT H,2,Full Time,M,19-21,International,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
201,UNIT X,1,Full Time,M,19-21,International,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
202,UNIT Q,2,Full Time,M,22-25,International,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
203,UNIT Z,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
204,UNIT S,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
205,UNIT M,1,Full Time,F,22-25,International,66,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
206,UNIT X,2,Full Time,F,18 and Under,Domestic,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
207,UNIT A,1,Full Time,M,19-21,Domestic,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
208,UNIT H,2,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
209,UNIT Q,2,Full Time,F,18 and Under,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
210,UNIT G,2,Full Time,F,19-21,Domestic,79,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14
211,UNIT K,1,Full Time,F,18 and Under,Domestic,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
212,UNIT Q,2,Full Time,M,19-21,Domestic,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
213,UNIT H,2,Full Time,F,19-21,International,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
214,UNIT V,2,Full Time,M,19-21,Domestic,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
215,UNIT Y,1,Full Time,M,19-21,Domestic,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
216,UNIT O,1,Full Time,F,19-21,Domestic,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
217,UNIT W,2,Full Time,F,18 and Under,International,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
218,UNIT X,1,Full Time,M,19-21,Domestic,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
219,UNIT Q,2,Full Time,F,19-21,Domestic,60,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,11
220,UNIT O,1,Full Time,F,19-21,International,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
221,UNIT O,1,Full Time,M,19-21,International,38,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
222,UNIT S,2,Full Time,M,19-21,International,35,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,12
